,CustomerId,KMEANS_AGG,KMEANS_AGG_PCA,KMEANS_AGG_MCA,KMEANS_AGG_UMAP
175,500032928,3,0,1,1
176,500033221,1,3,0,3
177,500033250,3,0,3,4
178,500033542,3,0,1,1
179,500034364,0,1,1,4
180,500034454,3,0,3,1
181,500035466,3,0,0,1
182,500035751,0,1,1,4
183,500036023,2,4,3,2
184,500036329,0,1,1,4
185,500036495,0,1,1,4
186,500036669,0,1,1,4
187,500036729,3,0,3,1
188,500036812,3,0,3,4
189,500037121,1,3,1,3
190,500037334,0,1,1,4
191,500037576,3,0,3,1
192,500038168,3,0,3,1
193,500038248,3,0,3,1
194,500038341,2,4,1,2
195,500038518,2,4,1,2
196,500038595,2,4,1,2
197,500038628,0,1,1,4
198,500038823,2,4,1,2
199,500038839,1,3,0,3
200,500039365,0,1,1,4
201,500039486,1,3,1,3
202,500039498,0,1,1,4
203,500039890,0,1,1,4
204,500039947,1,3,0,3
205,500039953,3,0,3,1
206,500039983,0,1,1,4
207,500040143,2,4,1,2
208,500040333,2,4,1,2
209,500040388,0,1,1,4
210,500041086,0,1,1,4
211,500041325,3,0,3,1
212,500042455,2,4,1,2
213,500042621,3,0,0,1
214,500042956,0,1,3,4
215,500043165,3,0,3,1
216,500043348,3,0,3,1
217,500043513,2,4,1,2
218,500043631,3,0,3,1
219,500044148,3,0,3,4
220,500044322,3,0,0,1
221,500045258,1,3,0,3
222,500045274,3,0,1,1
223,500045287,1,3,0,3
224,500045336,1,3,1,3
225,500045455,1,3,0,3
226,500045958,4,2,1,2
227,500046985,3,0,3,1
228,500047259,4,2,1,2
229,500047439,4,2,1,2
230,500047720,2,4,1,2
231,500048123,0,1,1,4
232,500048145,0,1,1,4
233,500048255,0,1,1,4
234,500048263,3,0,3,1
235,500048420,0,1,1,4
236,500048735,3,0,3,1
237,500048805,3,0,3,1
238,500048923,3,0,3,4
239,500049087,3,0,3,1
240,500050629,3,0,3,4
241,500052596,1,3,3,3
242,500054129,0,1,1,4
243,500054575,4,2,1,2
244,500054689,2,4,3,2
245,500054744,4,2,1,2
246,500056015,3,0,3,1
247,500056690,0,1,1,4
248,500056842,0,1,3,4
249,500057051,2,4,1,2
250,500057147,3,0,3,1
251,500057375,2,4,1,2
252,500057734,3,0,1,1
253,500057751,3,0,1,1
254,500058131,3,0,3,1
255,500058196,4,2,1,2
256,500058273,2,4,1,2
257,500059004,0,1,3,4
258,500059202,3,0,3,1
259,500059348,3,0,3,1
260,500060292,3,0,3,1
261,500060349,0,1,1,4
262,500060843,1,3,0,3
263,500060967,3,0,3,1
264,500061571,0,1,1,4
265,500061731,4,2,1,2
266,500061976,2,4,1,2
267,500062013,4,2,1,2
268,500062485,2,4,1,2
269,500062719,3,0,1,1
270,500062726,3,0,3,1
271,500063467,3,0,3,1
272,500063557,1,3,2,0
273,500063629,3,0,3,4
274,500063669,3,0,1,1
275,500063703,3,0,1,4
276,500064087,0,1,1,4
277,500065978,3,0,0,1
278,500066201,0,1,1,4
279,500067313,3,0,3,1
280,500067319,1,3,0,3
281,500067426,1,3,2,0
282,500067449,1,3,1,3
283,500067900,2,4,1,2
284,500068697,1,3,1,3
285,500068722,3,0,3,1
286,500069651,3,0,0,3
287,500069953,0,1,1,4
288,500070119,2,4,1,2
289,500070138,0,1,1,4
290,500071637,2,4,1,4
291,500071804,3,0,3,4
292,500072290,3,0,3,1
293,500072658,3,0,3,1
294,500072781,1,3,2,3
295,500073052,1,3,0,0
296,500073141,0,1,1,4
297,500073793,3,0,1,1
298,500073950,0,1,1,4
299,500073955,0,1,3,4
300,500074139,1,3,2,3
301,500074210,0,1,3,4
302,500074831,0,1,3,4
303,500075448,1,3,2,0
304,500075683,1,3,1,3
305,500075897,0,1,1,4
306,500076281,2,4,1,2
307,500076757,4,2,1,2
308,500076939,0,1,1,4
309,500077580,1,3,0,3
310,500078393,0,1,1,4
311,500079205,1,3,2,0
312,500079430,1,3,3,3
313,500079710,2,4,1,2
314,500080098,0,1,1,4
315,500080787,1,3,3,3
316,500081028,1,3,0,3
317,500081372,1,3,3,3
318,500082227,3,0,1,1
319,500082417,1,3,0,3
320,500083888,4,2,1,2
321,500084135,4,2,1,2
322,500086007,0,1,1,4
323,500087283,0,1,3,4
324,500087926,0,1,3,4
325,500087991,3,0,0,1
326,500089016,3,0,3,1
327,500089942,3,0,0,3
328,500090078,2,4,1,2
329,500090839,2,4,1,2
330,500091885,1,3,0,3
331,500092141,3,0,0,3
332,500092268,1,3,0,0
333,500092595,3,0,3,1
334,500092768,3,0,0,3
335,500092777,3,0,3,1
336,500093017,3,0,3,1
337,500093375,2,4,1,2
338,500094369,1,3,0,0
339,500094473,4,2,1,2
340,500094553,0,1,1,4
341,500094785,1,3,3,3
342,500094952,0,1,1,4
343,500094978,1,3,2,3
344,500095002,1,3,2,0
345,500095209,3,0,3,1
346,500095381,1,3,2,0
347,500096129,1,3,3,3
348,500096217,4,2,1,2
349,500096366,0,1,1,4
350,500097058,2,4,1,2
351,500097087,3,0,3,1
352,500098502,3,0,3,1
353,500098935,2,4,1,2
354,500099417,1,3,3,3
355,500099470,2,4,1,2
356,500099506,0,1,1,4
357,500099734,3,0,1,4
358,500100502,3,0,3,4
359,500100511,2,4,1,2
360,500101080,3,0,1,1
361,500101560,3,0,3,1
362,500101928,0,1,1,4
363,500102106,0,1,3,4
364,500102422,4,2,1,2
365,500102470,1,3,3,3
366,500102641,0,1,1,4
367,500102663,3,0,3,1
368,500102766,0,1,1,4
369,500102792,1,3,0,3
370,500102802,3,0,3,1
371,500102819,3,0,0,1
372,500102914,3,0,3,4
373,500103577,0,1,3,4
374,500103626,1,3,4,0
375,500103720,0,1,1,4
376,500104284,2,4,1,2
377,500104498,4,2,1,2
